phase,epoch,train_loss,eval_cost,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,elapsed_ms
initial,0,0,0.690561,736,110,252,1170,0.435626,0.869976,0.386149,0.696133,0.534884,0
epoch,1,0.639102,0.560822,1294,80,282,612,0.694885,0.941776,0.678909,0.779006,0.789024,74
epoch,2,0.568905,0.548422,1110,49,313,796,0.627425,0.957722,0.582371,0.864641,0.724307,71
epoch,3,0.551138,0.531884,1322,72,290,584,0.710758,0.94835,0.693599,0.801105,0.801212,72
epoch,4,0.548838,0.518266,1225,55,307,681,0.675485,0.957031,0.642707,0.848066,0.768989,76
epoch,5,0.529631,0.502875,1372,72,290,534,0.732804,0.950139,0.719832,0.801105,0.819104,73
epoch,6,0.523675,0.498262,1319,65,297,587,0.712522,0.953035,0.692025,0.820442,0.801824,72
epoch,7,0.521371,0.484219,1347,58,304,559,0.727954,0.958719,0.706716,0.839779,0.813652,73
epoch,8,0.500787,0.485222,1300,42,320,606,0.714286,0.968703,0.682057,0.883978,0.800493,72
epoch,9,0.501534,0.464934,1358,50,312,548,0.736332,0.964489,0.712487,0.861878,0.819553,75
epoch,10,0.480819,0.460417,1285,42,320,621,0.707672,0.96835,0.674187,0.883978,0.794927,70
epoch,11,0.480776,0.438992,1313,34,328,593,0.723545,0.974759,0.688877,0.906077,0.807255,72
epoch,12,0.465195,0.440714,1297,36,326,609,0.715608,0.972993,0.680483,0.900553,0.800864,71
epoch,13,0.459581,0.431607,1339,38,324,567,0.733245,0.972404,0.702518,0.895028,0.815717,71
epoch,14,0.456338,0.434111,1323,44,318,583,0.723545,0.967813,0.694124,0.878453,0.808433,72
epoch,15,0.457734,0.417324,1304,21,341,602,0.725309,0.984151,0.684155,0.941989,0.80718,72
epoch,16,0.439174,0.429689,1225,21,341,681,0.690476,0.983146,0.642707,0.941989,0.777284,70
epoch,17,0.42945,0.393717,1313,20,342,593,0.729718,0.984996,0.688877,0.944751,0.810744,71
epoch,18,0.419126,0.383812,1344,25,337,562,0.741182,0.981739,0.705142,0.930939,0.820763,72
epoch,19,0.422506,0.413003,1331,32,330,575,0.732363,0.976522,0.698321,0.911602,0.814316,71
epoch,20,0.41575,0.370055,1331,17,345,575,0.738977,0.987389,0.698321,0.953039,0.81807,71
epoch,21,0.398907,0.374392,1388,27,335,518,0.7597,0.980919,0.728227,0.925414,0.835893,71
epoch,22,0.400109,0.367679,1343,16,346,563,0.744709,0.988227,0.704617,0.955801,0.822665,70
epoch,23,0.39937,0.370513,1414,35,327,492,0.767637,0.975845,0.741868,0.903315,0.842921,70
epoch,24,0.390617,0.349309,1435,22,340,471,0.782628,0.9849,0.752886,0.939227,0.853405,70
epoch,25,0.370117,0.337261,1416,13,349,490,0.778219,0.990903,0.742917,0.964088,0.849175,71
epoch,26,0.367294,0.353765,1390,21,341,516,0.763228,0.985117,0.729276,0.941989,0.838107,70
epoch,27,0.399743,0.356743,1383,27,335,523,0.757496,0.980851,0.725603,0.925414,0.834137,71
epoch,28,0.376083,0.344832,1404,24,338,502,0.768078,0.983193,0.736621,0.933702,0.842232,70
epoch,29,0.357876,0.335157,1388,14,348,518,0.765432,0.990014,0.728227,0.961326,0.839178,70
epoch,30,0.350519,0.357415,1434,27,335,472,0.779982,0.98152,0.752361,0.925414,0.851797,70
epoch,31,0.383719,0.365797,1335,14,348,571,0.742063,0.989622,0.70042,0.961326,0.820276,70
epoch,32,0.388408,0.347883,1395,25,337,511,0.763668,0.982394,0.731899,0.930939,0.838845,70
epoch,33,0.378568,0.341391,1415,23,339,491,0.773369,0.984006,0.742392,0.936464,0.846292,71
epoch,34,0.359925,0.320443,1429,18,344,477,0.781746,0.98756,0.749738,0.950276,0.852371,71
epoch,35,0.33334,0.301479,1423,8,354,483,0.78351,0.99441,0.74659,0.977901,0.852862,71
epoch,36,0.327927,0.295859,1426,7,355,480,0.785273,0.995115,0.748164,0.980663,0.854148,70
epoch,37,0.325636,0.315557,1462,21,341,444,0.794974,0.985839,0.767051,0.941989,0.862791,71
epoch,38,0.358818,0.339933,1401,16,346,505,0.770282,0.988709,0.735047,0.955801,0.843214,71
epoch,39,0.34493,0.345001,1473,37,325,433,0.792769,0.975497,0.772823,0.89779,0.862412,71
epoch,40,0.3677,0.361963,1460,34,328,446,0.78836,0.977242,0.766002,0.906077,0.858824,71
epoch,41,0.370284,0.369224,1318,16,346,588,0.733686,0.988006,0.691501,0.955801,0.81358,70
epoch,42,0.365364,0.344135,1371,15,347,535,0.757496,0.989177,0.719307,0.958564,0.832928,70
epoch,43,0.371782,0.347181,1419,26,336,487,0.77381,0.982007,0.744491,0.928177,0.846911,71
epoch,44,0.336803,0.307402,1417,9,353,489,0.780423,0.993689,0.743442,0.975138,0.85054,70
epoch,45,0.337205,0.304103,1466,18,344,440,0.79806,0.987871,0.76915,0.950276,0.864897,70
epoch,46,0.323545,0.315506,1456,15,347,450,0.794974,0.989803,0.763903,0.958564,0.862304,71
epoch,47,0.323979,0.324138,1408,14,348,498,0.77425,0.990155,0.73872,0.961326,0.846154,70
epoch,48,0.335843,0.339641,1337,9,353,569,0.74515,0.993314,0.701469,0.975138,0.822263,70
epoch,49,0.336659,0.293576,1462,12,350,444,0.798942,0.991859,0.767051,0.966851,0.865089,71
epoch,50,0.318602,0.328869,1370,9,353,536,0.7597,0.993474,0.718783,0.975138,0.834094,72
epoch,51,0.347164,0.333505,1461,25,337,445,0.792769,0.983176,0.766527,0.930939,0.861439,70
epoch,52,0.394265,0.373565,1332,22,340,574,0.737213,0.983752,0.698846,0.939227,0.817178,71
epoch,53,0.397926,0.364675,1312,12,350,594,0.732804,0.990937,0.688353,0.966851,0.812384,71
epoch,54,0.370199,0.330031,1366,10,352,540,0.757496,0.992733,0.716684,0.972376,0.832419,71
epoch,55,0.337758,0.297471,1442,16,346,464,0.78836,0.989026,0.756558,0.955801,0.857313,70
epoch,56,0.313088,0.302173,1424,7,355,482,0.784392,0.995108,0.747114,0.980663,0.853461,71
epoch,57,0.309952,0.288953,1464,11,351,442,0.800265,0.992542,0.768101,0.969613,0.866016,70
epoch,58,0.307717,0.286909,1423,4,358,483,0.785273,0.997197,0.74659,0.98895,0.853885,70
epoch,59,0.298448,0.294687,1460,13,349,446,0.797619,0.991174,0.766002,0.964088,0.864161,70
epoch,60,0.316578,0.342695,1492,31,331,414,0.803792,0.979645,0.782791,0.914365,0.870225,71
epoch,61,0.359335,0.330124,1378,12,350,528,0.761905,0.991367,0.72298,0.966851,0.836165,71
epoch,62,0.355181,0.322113,1425,17,345,481,0.780423,0.988211,0.747639,0.953039,0.851254,71
epoch,63,0.349456,0.314768,1382,3,359,524,0.767637,0.997834,0.725079,0.991713,0.839866,70
epoch,64,0.321314,0.297817,1450,10,352,456,0.794533,0.993151,0.760755,0.972376,0.861557,71
epoch,65,0.306877,0.310468,1458,20,342,448,0.793651,0.986468,0.764953,0.944751,0.861702,72
epoch,66,0.303022,0.274603,1490,12,350,416,0.811287,0.992011,0.781742,0.966851,0.874413,70
epoch,67,0.289078,0.262406,1485,6,356,421,0.811728,0.995976,0.779119,0.983425,0.874301,71
epoch,68,0.276726,0.285182,1476,6,356,430,0.80776,0.995951,0.774397,0.983425,0.871311,72
epoch,69,0.298525,0.333236,1400,11,351,506,0.772046,0.992204,0.734523,0.969613,0.844136,70
epoch,70,0.346578,0.314393,1410,10,352,496,0.776896,0.992958,0.739769,0.972376,0.847865,71
epoch,71,0.343253,0.348184,1436,27,335,470,0.780864,0.981545,0.75341,0.925414,0.852479,71
epoch,72,0.358436,0.330501,1403,16,346,503,0.771164,0.988724,0.736097,0.955801,0.84391,71
epoch,73,0.333911,0.301607,1432,11,351,474,0.786155,0.992377,0.751312,0.969613,0.855181,72
epoch,74,0.293971,0.307269,1500,26,336,406,0.809524,0.982962,0.786988,0.928177,0.874126,70
epoch,75,0.319521,0.299744,1433,12,350,473,0.786155,0.991696,0.751836,0.966851,0.855267,71
epoch,76,0.338089,0.334222,1396,14,348,510,0.768959,0.990071,0.732424,0.961326,0.841978,71
epoch,77,0.355869,0.32045,1430,14,348,476,0.783951,0.990305,0.750262,0.961326,0.853731,70
epoch,78,0.330952,0.303883,1411,5,357,495,0.779541,0.996469,0.740294,0.986188,0.849488,71
epoch,79,0.309952,0.294468,1444,7,355,462,0.79321,0.995176,0.757608,0.980663,0.860292,71
epoch,80,0.286508,0.275413,1446,3,359,460,0.795855,0.99793,0.758657,0.991713,0.861997,71
epoch,81,0.274919,0.28113,1443,4,358,463,0.794092,0.997236,0.757083,0.98895,0.860722,71
epoch,82,0.297555,0.270852,1481,7,355,425,0.809524,0.995296,0.77702,0.980663,0.872717,71
epoch,83,0.289262,0.283857,1427,4,358,479,0.787037,0.997205,0.748688,0.98895,0.855259,71
epoch,84,0.297006,0.294867,1475,11,351,431,0.805115,0.992598,0.773872,0.969613,0.869693,71
epoch,85,0.328146,0.275466,1484,13,349,422,0.808201,0.991316,0.778594,0.964088,0.872172,70
epoch,86,0.317053,0.2938,1491,20,342,415,0.808201,0.986764,0.782266,0.944751,0.872695,71
epoch,87,0.315055,0.279944,1463,7,355,443,0.801587,0.995238,0.767576,0.980663,0.866706,71
epoch,88,0.301868,0.283081,1481,10,352,425,0.808201,0.993293,0.77702,0.972376,0.871946,75
epoch,89,0.30075,0.269073,1492,8,354,414,0.813933,0.994667,0.782791,0.977901,0.876101,71
epoch,90,0.329513,0.331117,1369,10,352,537,0.758818,0.992748,0.718258,0.972376,0.833486,70
epoch,91,0.343022,0.325087,1403,14,348,503,0.772046,0.99012,0.736097,0.961326,0.844418,71
epoch,92,0.367951,0.344466,1381,14,348,525,0.762346,0.989964,0.724554,0.961326,0.836716,71
epoch,93,0.362208,0.326613,1358,10,352,548,0.753968,0.99269,0.712487,0.972376,0.829566,70
epoch,94,0.318386,0.284147,1493,14,348,413,0.811728,0.99071,0.783316,0.961326,0.87489,71
epoch,95,0.298055,0.289304,1443,8,354,463,0.792328,0.994487,0.757083,0.977901,0.859696,71
epoch,96,0.303208,0.304602,1470,16,346,436,0.800705,0.989233,0.771249,0.955801,0.866745,71
epoch,97,0.321577,0.2843,1456,10,352,450,0.797178,0.993179,0.763903,0.972376,0.863582,70
epoch,98,0.290873,0.271331,1456,6,356,450,0.798942,0.995896,0.763903,0.983425,0.864608,70
epoch,99,0.27011,0.250797,1489,2,360,417,0.815256,0.998659,0.781217,0.994475,0.876656,77
epoch,100,0.290803,0.303838,1429,7,355,477,0.786596,0.995125,0.749738,0.980663,0.855177,71
epoch,101,0.318443,0.293161,1440,5,357,466,0.792328,0.99654,0.755509,0.986188,0.859445,72
epoch,102,0.302946,0.279531,1441,4,358,465,0.79321,0.997232,0.756034,0.98895,0.860042,71
epoch,103,0.300643,0.283678,1468,10,352,438,0.802469,0.993234,0.770199,0.972376,0.867612,70
epoch,104,0.299774,0.270359,1491,12,350,415,0.811728,0.992016,0.782266,0.966851,0.874743,71
epoch,105,0.282152,0.26129,1490,7,355,416,0.813492,0.995324,0.781742,0.980663,0.875698,71
epoch,106,0.270236,0.247833,1517,6,356,389,0.825838,0.99606,0.795908,0.983425,0.884806,72
epoch,107,0.291804,0.285364,1521,20,342,385,0.821429,0.987021,0.798006,0.944751,0.882506,70
epoch,108,0.319355,0.28879,1500,16,346,406,0.813933,0.989446,0.786988,0.955801,0.87668,70
epoch,109,0.313329,0.331709,1330,8,354,576,0.742504,0.994021,0.697796,0.977901,0.819975,71
epoch,110,0.331659,0.321479,1453,17,345,453,0.792769,0.988435,0.762329,0.953039,0.860782,72
epoch,111,0.31209,0.284623,1498,14,348,408,0.813933,0.990741,0.785939,0.961326,0.876536,72
epoch,112,0.346957,0.352997,1334,12,350,572,0.742504,0.991085,0.699895,0.966851,0.820418,71
epoch,113,0.319276,0.292407,1484,18,344,422,0.805996,0.988016,0.778594,0.950276,0.870892,71
epoch,114,0.293496,0.272299,1470,10,352,436,0.803351,0.993243,0.771249,0.972376,0.868281,71
epoch,115,0.282818,0.26502,1459,3,359,447,0.801587,0.997948,0.765477,0.991713,0.86639,71
epoch,116,0.269582,0.260524,1462,1,361,444,0.803792,0.999316,0.767051,0.997238,0.867913,71
epoch,117,0.261183,0.243713,1513,11,351,393,0.821869,0.992782,0.793809,0.969613,0.882216,71
epoch,118,0.27946,0.26239,1476,6,356,430,0.80776,0.995951,0.774397,0.983425,0.871311,71
epoch,119,0.289072,0.278826,1519,17,345,387,0.821869,0.988932,0.796957,0.953039,0.882626,71
epoch,120,0.308684,0.287334,1439,8,354,467,0.790564,0.994471,0.754984,0.977901,0.858336,71
epoch,121,0.292554,0.280051,1454,5,357,452,0.798501,0.996573,0.762854,0.986188,0.86419,82
epoch,122,0.305179,0.285493,1506,16,346,400,0.816579,0.989488,0.790136,0.955801,0.878646,70
epoch,123,0.295041,0.263788,1475,6,356,431,0.807319,0.995949,0.773872,0.983425,0.870977,72
epoch,124,0.275472,0.268975,1479,7,355,427,0.808642,0.995289,0.775971,0.980663,0.872052,71
epoch,125,0.290515,0.263801,1489,6,356,417,0.813492,0.995987,0.781217,0.983425,0.875625,71
epoch,126,0.27191,0.254521,1484,7,355,422,0.810847,0.995305,0.778594,0.980663,0.873712,71
